GeneSymbol	GeneID	GI
Vmn2r45	100042810	gi|157311639
2610015P09Rik	212153	gi|298358637
Gm15800	269700	gi|359718915
Gm20594	100463512	gi|299758462
Pdzd7	100503041	gi|305682586
Gm17252	100312987	gi|316659405
Olfr331	100502887	gi|374532830
Gm5901	100503879	gi|307612000
Olfr251	404313	gi|340139791
Kcng2	240444	gi|298566262
Vmn2r39	545909	gi|157311629
9830147E19Rik	208111	gi|334724445
Vmn2r50	434117	gi|157384937
Cic	71722	gi|158631217
Gm960	381196	gi|353523843
4930544D05Rik	668433	gi|224493736
Ccdc13	100502861	gi|304555596
Lekr1	624866	gi|262263415
Plscr5	100504689	gi|307574650
Olfr209	404311	gi|269784653
Sult2a3	629203	gi|357197126
Gm3139	100041102	gi|345441788
Abhd12b	100504285	gi|303324606
Kcnmb3	100502876	gi|303519446
Gm13283	545645	gi|148224118
1700055N04Rik	73458	gi|343098457
Gm14479	100042939	gi|339717811
Ect2l	100045792	gi|303523272
Cyp2j12	242546	gi|154147742
Sult2a7	638251	gi|296923713
Gm20410	100126773	gi|294831992
Fam124a	629059	gi|345110602
Gm9268	668612	gi|157311598
Vmn2r88	669149	gi|156766038
9930021J03Rik	240613	gi|295293085
Lrit3	242235	gi|326633256
Gm10408	100041840	gi|374532790
Zdhhc25	70073	gi|58037195
E230008N13Rik	381522	gi|295789102
Actl9	69481	gi|85662421
Acpt	100503991	gi|303324608
Gm13290	545646	gi|341926260
Gm14430	627914	gi|154426318
Gm3139	100041102	gi|345441790
Vmn2r40	100042781	gi|157311631
BC024978	414069	gi|345197250
Gm14482	100042943	gi|339639578
Ccdc42b	546886	gi|304307772
Gm13289	545647	gi|341926156
Phyhd1	227696	gi|357588429
Gm3259	100041296	gi|394581997
Gm3336	100502950	gi|305410843
Gm7978	666203	gi|394582016
Vmn2r34	100042636	gi|157311614
Vmn1r62	81016	gi|229092402
Gm14475	100042946	gi|339639586
Rbm31y	74484	gi|294610680
Gm14431	100303732	gi|294345440
Ccdc141	545428	gi|299829227
Hist1h4m	100041230	gi|306482623
Gm13279	545653	gi|341926163
Vmn2r41	100042848	gi|157311633
Ceacam3	384557	gi|323462176
S100a2	628324	gi|307691246
Gm581	100039953	gi|305410846
Olfr250	404312	gi|340139464
Gm6772	627607	gi|307691260
Vmn2r99	665376	gi|294862241
Vmn2r55	100042499	gi|157278024
Gm3238	100041261	gi|197276692
Gm8298	666803	gi|339895783
Krtap22-2	68740	gi|300360583
Olfr668	259061	gi|22128841
Gm5294	384244	gi|304376263
Fam71e2	243822	gi|223972700
Tmem132b	208151	gi|298493223
Cyp2j8	665095	gi|157278596
Olfr936	100503486	gi|300863158
Cyp4a31	666168	gi|357527444
A630095N17Rik	381272	gi|340545548
Zfp874b	408067	gi|115647917
Scgb2b19	545947	gi|313569840
C920025E04Rik	667803	gi|401871063
Olfr631	258961	gi|116089294
Olfr631	258961	gi|402232748
Olfr257	404314	gi|46430560
Olfr1184	258820	gi|22129211
Olfr835	257872	gi|59676583
Olfr273	258821	gi|22129213
Olfr969	258823	gi|22129209
Olfr1116-ps	257875	gi|58801262
Vmn1r229	171224	gi|21717703
Olfr622	259087	gi|22128805
Olfr776	404321	gi|46430578
Olfr1457	258568	gi|22129495
Olfr924	404322	gi|46430572
Olfr459	258569	gi|22129497
Vmn1r225	171228	gi|21717711
Olfr133	258828	gi|22129197
Olfr744	257884	gi|58801270
Olfr134	258829	gi|22129199
Olfr885	257885	gi|58801272
Vmn1r231	171230	gi|21717715
Olfr814	259165	gi|46391071
Olfr103	258830	gi|22129193
Vmn1r230	171231	gi|21717709
Olfr519	277935	gi|53850579
Olfr101	258831	gi|22129195
Olfr1113	404327	gi|46430590
Olfr479	257891	gi|58801278
Ear7	53873	gi|117414129
Olfr1132	258833	gi|22129191
Olfr52	18352	gi|22208858
Olfr561	259096	gi|22128785
Olfr1198	404330	gi|46430594
Olfr1252	404331	gi|46430588
Olfr1232	258320	gi|22129651
Olfr606	259098	gi|22128781
Olfr23	18321	gi|66472356
Vmn1r73	171237	gi|21717721
Olfr809	258321	gi|22129645
Olfr676	259099	gi|22128775
Olfr617	258838	gi|22129183
Olfr666	259100	gi|22128777
Olfr1000	257899	gi|58743312
Vmn1r29	113859	gi|16716547
Vmn1r74	171240	gi|21717735
Olfr1535	404335	gi|46849789
Olfr242	406175	gi|33468915
Olfr704	257902	gi|58801286
Olfr298	257905	gi|58801290
Olfr1434	404338	gi|46518542
Olfr293	257906	gi|58801292
Vmn1r81	171244	gi|21717743
Olfr1480	404339	gi|46430752
Olfr954	258328	gi|22129638
Olfr1090	258844	gi|22129169
Olfr135	258329	gi|22129630
Vmn1r200	171246	gi|21717737
Olfr1281	257979	gi|53933203
Olfr671	257910	gi|58801298
Olfr948	257912	gi|58801300
Vmn1r214	171248	gi|21955274
Olfr663	257914	gi|58801302
Vmn1r213	171249	gi|58372164
Olfr974	259111	gi|22128733
Vmn1r206	171250	gi|21717741
Olfr263	18341	gi|46559422
Vmn1r205	171251	gi|21717751
Vmn1r208	171252	gi|21717745
Olfr570	259114	gi|22128737
Vmn1r215	171253	gi|21717755
Olfr366	236509	gi|53933206
Olfr1259	258338	gi|22129616
Vmn1r201	171255	gi|21717759
Olfr716	258597	gi|22129445
Vmn1r218	171256	gi|21717753
Olfr1265	258340	gi|22129612
Olfr828	258598	gi|33239272
Olfr48	18347	gi|70778832
Olfr1495	258341	gi|22129614
Olfr161	258859	gi|33239306
Olfr578	259119	gi|22128747
Vmn1r202	171258	gi|21717757
Gm4736	114600	gi|16716579
Vmn1r193	171259	gi|21717767
Olfr397	258343	gi|22129610
Olfr984	258601	gi|33239012
Olfr763	258861	gi|22203799
Olfr299	257929	gi|58801314
Vmn1r89	171260	gi|21717761
Olfr390	258344	gi|22129604
Olfr770	258862	gi|22129151
Vmn1r87	171261	gi|21717771
Olfr972	258603	gi|33239218
Olfr768	258863	gi|22129145
Olfr970	258604	gi|33239224
Olfr229	258606	gi|33239228
Olfr1008	258866	gi|22129141
Vmn1r185	171265	gi|21717779
Olfr971	258607	gi|33239226
Olfr1287	257935	gi|58801322
Vmn1r84	171267	gi|21717783
Olfr633	258351	gi|22129591
Olfr1419	257938	gi|58801326
Olfr692	258352	gi|22129593
Vmn1r210	171269	gi|21717787
Vmn1r203	171270	gi|21955268
Olfr285	257943	gi|58801332
Vmn1r220	171271	gi|21955270
Olfr677	258355	gi|22129583
Vmn1r219	171272	gi|21955266
Olfr308	258614	gi|33239366
Vmn1r217	171273	gi|21717781
Vmn1r222	171274	gi|21717791
Olfr357	258616	gi|33239282
Olfr1312	258359	gi|22129575
Olfr1395	258877	gi|22129125
Olfr355	258618	gi|33239288
Olfr987	257951	gi|58801340
Vmn1r197	171278	gi|58866045
Vmn1r216	171279	gi|21717789
Olfr1093	258363	gi|22129567
Olfr344	258621	gi|33239294
Olfr1307	257956	gi|58801342
Ear12	503845	gi|61097919
Olfr222	257962	gi|58801344
Olfr120	258624	gi|33238908
Olfr857	257963	gi|59676579
Olfr116	258625	gi|33239076
Olfr1450	258368	gi|22129559
Olfr509	258369	gi|22129561
Olfr1504	258627	gi|33239094
Olfr1301	258889	gi|22129109
